"scientific","rec_gbif"
"Hyposcada illinissa (Hewitson, 1852)",5
"Eurysternus gracilis Génier, 2009",5
"Carpelimus Leach, 1819",5
"Cithaerias aurorina Weymer, 1911",5
"Stichillus Enderlein, 1924",5
"Cithaerias pyritosa (Zikán, 1942)",5
"Megalomyrmex Forel, 1885",5
"Lutzomyia amazonensis (Root, 1934)",5
"Curtara retusa DeLong & Freytag, 1976",5
"Dryopidae",5
"Cylindrotermes flangiatus Mathews, 1977",5
"Jamesia globifera (Fabricius, 1801)",5
"Eciton lucanoides Emery, 1894",5
"Plociopterus Kraatz, 1857",5
"Phoebis argante larra (Fabricius, 1798)",5
"Oxyethira Eaton, 1873",5
"Apocephalus colombicus Brown, 1997",5
"Compsibidion maronicum (Thomson, 1867)",5
"Dohrniphora circularis Brown & Kung, 2007",5
"Neocapritermes pumilis Constantino, 1991",5
"Tramea Hagen, 1861",5
"Enochrus C.G.Thomson, 1859",5
"Dohrniphora bicavatura Brown & Kung, 2010",5
"Bdelyrus howdeni Cook, 1998",5
"Passalus convexus Dalman, 1817",5
"Apocephalus facettalis Borgmeier, 1961",5
"Lasiocampidae",5
"Dohrniphora flexicarina Brown & Kung, 2010",5
"Copididonus hyalinipennis (Stål, 1854)",5
"Rogeria Emery, 1923",5
"Coprophanaeus telamon (Erichson, 1847)",5
"Tithorea harmonia (Cramer, 1779)",5
"Rhabdodryas trite trite",5
"Paratrachymyrmex Solomon, Rabeling, Sosa-Calvo & Schultz, 2019",5
"Dohrniphora ignobilis Borgmeier, 1960",5
"Stagmatoptera binotata Scudder, 1869",5
"Pseudophasmatidae",5
"Dohrniphora knabi Malloch, 1912",5
"Biocrypta Casey, 1905",5
"Cosmariomyia albarista James, 1980",5
"Cyrtophorina deinocerca Borgmeier & Prado, 1975",5
"Pierella lena Linnaeus, 1767",5
"Trophithauma Schmitz, 1925",5
"Cyphon Paykull, 1799",5
"Crematogaster carinata Mayr, 1862",5
"Nasutitermes Dudley, 1890",5
"Eciton dulcium Forel, 1912",5
"Tulcus paganus (Pascoe, 1859)",5
"Calliscelio amadoi Chen & Johnson, 2017",5
"Rheumatobates Bergroth, 1892",5
"Acrocinus longimanus (Linnaeus, 1758)",4
"Mayaponera constricta (Mayr, 1884)",4
"Macronema Pictet, 1836",4
"Fannia dodgei Seago, 1954",4
"Xestocephalus ancorifer Linnavuori, 1959",4
"Gerridae",4
"Limnichidae",4
"Leptophlebiidae",4
"Glyphidops coracinus Sepúlveda, Wolff & Carvalho, 2014",4
"Staphyliniae",4
"Gypona kjellanderi DeLong & Freytag, 1962",4
"Gypona uncinata DeLong, 1980",4
"Gyrinus Geoffroy, 1762",4
"Soosiulus servulus Melichar, 1932",4
"Hecalapona DeLong & Freytag, 1975",4
"Iphiclus Chevrolat, 1837",4
"Ichneumonidae",4
"Hypsioma lyca Dillon & Dillon, 1945",4
"Heliconius numata silvana",4
"Hypoponera distinguenda (Emery, 1890)",4
"Hylomyrma sagax Kempf, 1973",4
"Hylomyrma immanis Kempf, 1973",4
"Heraclides garleppi (Staudinger, 1892)",4
"Heraclides thoas (Linnaeus, 1771)",4
"Hermetia pulchra Wiedemann, 1830",4
"Hydraena Kugelann, 1794",4
"Heteronemiidae",4
"Hexacylloepus Hinton, 1940",4
"Hoplomutilla Ashmead, 1899",4
"Artemita hieroglyphica (Wiedemann, 1830)",4
"Smicridea McLachlan, 1871",4
"Aspasiola Chaudoir, 1877",4
"Sericomyrmex Mayr, 1865",4
"Selvitsa vermiculata Young Jr., 1977",4
"Scybalocanthon arnaudi Silva & Valois, 2019",4
"Scipopus Enderlein, 1922",4
"Baeotus deucalion (Felder, 1860)",4
"Scaris ultra DeLong & Freytag, 1969",4
"Xanthyris flaveolata (Linnaeus, 1758)",4
"Sargus Fabricius, 1798",4
"Adelomyrmex striatus Fernandez, 2003",4
"Adelopteromyia Schmitz, 1923",4
"Bia actorion Linnaeus, 1763",4
"Rhyncophoromyia trivittata Malloch, 1923",4
"Rheumatobates crassifemur Esaki, 1926",4
"Zyrastilbodes Scheerpeltz, 1962",4
"Pseudoponera stigma (Fabricius, 1804)",4
"Pseudomyrmex termitarius (Smith, 1855)",4
"Pseudomyrmex pictus (Stitz, 1913)",4
"Veturius unicornis Gravely, 1918",4
"BOLD:ADG0261",4
"Pseudoheptascelio rex Johnson & Musetti, 2011",4
"Portanus eburatus Kramer, 1964",4
"Brachyodina Lindner, 1949",4
"Planicephalus flavicosta (Stål, 1862)",4
"Pierella hyalinus Gmelin",4
"Philaethria dido (Linnaeus, 1763)",4
"Trineurocephala Schmitz, 1923",4
"Pheidole tennantae",4
"Agriocoris flavipes (Fabricius, 1803)",4
"Celina Aubé, 1837",4
"Pheidole paraensis",4
"Trigona pallens (Fabricius, 1798)",4
"Trigona amazonensis (Ducke, 1916)",4
"Pheidole christopherseni Forel, 1912",4
"Chiasmodolon bellus Freytag, 2006",4
"Pheidole asperithorax Emery",4
"Chlorida curta Thomson, 1857",4
"Phanuromyia Dodd, 1914",4
"Clavilispinus Bernhauer, 1926",4
"Periboeum pubescens (Olivier, 1790)",4
"Peckia intermutans (Walker, 1861)",4
"Paxillus camerani (Rosmini, 1902)",4
"Parides sesostris sesostris",4
"Coprophanaeus parvulus (Olsoufieff, 1924)",4
"Thraulodes Ulmer, 1920",4
"Crambidae",4
"Papilionidae",4
"Palingonalia hypera Freytag & Vargas-R, 2007",4
"Palame crassimana Bates, 1864",4
"Tholymis citrina Hagen, 1867",4
"Anochetus elegans Lattke, 1987",4
"Acontistoptera Brues, 1902",4
"Culicoides insinuatus Ortiz & León, 1954",4
"Curtara filana DeLong & Freytag, 1976",4
"Pachycondyla harpax (Fabricius, 1804)",4
"Cynipidae",4
"Cyphomyrmex faunulus Wheeler, 1925",4
"Cyrnellus Banks, 1913",4
"Dacnophora",4
"Anthicidae",4
"Oxysarcodexia adunca Lopes, 1975",4
"Orthemis Hagen, 1861",4
"Oreodera undulata Bates, 1861",4
"Diaethria clymena (Cramer, 1775)",4
"Dibelonetes R.F.Sahlberg, 1847",4
"Telebasis Selys, 1865",4
"Docalidia insolita Nielson, 1979",4
"Octostruma Forel, 1912",4
"Nyssodrysternum propinquum (Bates, 1864)",4
"Medon Stephens, 1833",4
"Dohrniphora biseriata Borgmeier, 1960",4
"Dohrniphora brevisimplex Brown & Kung, 2010",4
"Dohrniphora gravis Borgmeier & Prado, 1975",4
"Dohrniphora lacunosa Brown & Kung, 2007",4
"Notomicrus Sharp, 1882",4
"Dohrniphora minilobata Brown & Kung, 2010",4
"Dohrniphora oricilla Kung & Brown, 2005",4
"Nordus Blackwelder, 1952",4
"Dohrniphora phyzela Brown & Kung, 2010",4
"Nogueirapis Moure, 1953",4
"Nephepeltia phryne Perty, 1834",4
"Neoneura Selys, 1860",4
"Dolichoderus debilis Emery, 1890",4
"Dolichoderus imitator Emery, 1894",4
"Doliopria Kieffer, 1910",4
"Dynamine racidula Hewitson, 1852",4
"Neivamyrmex gibbatus Borgmeier, 1953",4
"Nectopsyche Mueller, 1879",4
"Myriophora spicaphora Hash & Brown, 2015",4
"Ecchaetomyia nigrovittata Lindner, 1949",4
"Stylocentrus ancora Perty, 1833",4
"Myriophora dolionatis Hash & Brown, 2015",4
"Mymaridae",4
"Mimoides pausanias (Hewitson, 1852)",4
"Ephuta abadia (Cresson, 1902)",4
"Ephuta subconica Mickel, 1952",4
"Micrauchenus lineola (Fabricius, 1787)",4
"Micrathyria Kirby, 1889",4
"Eresia clio (Linnaeus, 1758)",4
"Apocephalus portalensis Brown & LeBrun, 2010",4
"Erythemis haematogastra Burmeister, 1839",4
"Erythrodiplax anatoidea Borror, 1942",4
"Eucaerus LeConte, 1853",4
"Eumesembrinella randa (Walker, 1849)",4
"Anteos menippe (Hübner, 1818)",3
"Dohrniphora procera Borgmeier, 1960",3
"Gypona aglata Freytag, 2006",3
"Dohrniphora rachelae Disney, 1983",3
"Tetrigidae",3
"Cydnidae",3
"Cybister Curtis, 1827",3
"Latiborophaga Brown, 1992",3
"Anopheles",3
"Anochetus neglectus Emery, 1894",3
"Crematogaster nigropilosa Mayr, 1870",3
"Dohrniphora smithi Brown & Kung, 2007",3
"Anisoscelis foliaceus (Fabricius, 1803)",3
"Palingonalia subta Freytag & Vargas-R, 2007",3
"Crematogaster acuta Fabricius, 1804",3
"Anisopodus White, 1855",3
"Paragrallomyia thiemei (Enderlein, 1922)",3
"Coronigoniella elongata Freytag, 2008",3
"Coptodera chalcites Bates, 1869",3
"Parides aeneas (Linnaeus, 1758)",3
"Dohrniphora xiei Brown & Kung, 2007",3
"Megacyllene angulata (Fabricius, 1775)",3
"Parides lysander (Cramer, 1775)",3
"Passalus coniferus Eschscholtz, 1828",3
"Passalus interruptus (Linnaeus, 1758)",3
"Latusagallia nigricans (Uhler, 1895)",3
"Paulinia acuminata (De Geer, 1773)",3
"Colobothea plagiata Aurivillius, 1902",3
"Colliuris subdistincta (Chaudoir, 1863)",3
"Lebia bitaeniata Chevrolat, 1834",3
"Pentagonica flavipes (LeConte, 1853)",3
"Pentagonica scutellaris Chaudoir, 1877",3
"Cloeodes Traver, 1938",3
"Neogerris magnus (Kuitert, 1942)",3
"Perithemis Hagen, 1861",3
"Perrhybris lorena (Hewitson, 1852)",3
"Phanaeus bispinus Bates, 1868",3
"Chlorotettix minimus Baker, 1898",3
"Pheidole charazana",3
"Americabaetis Kluge, 1992",3
"Trigona amalthea (Olivier, 1789)",3
"Pheidole cuevasi",3
"Cepheuptychia cephus Fabricius, 1775",3
"Goniadera Perty, 1832",3
"Cephalotrigona zexmeniae (Cockerell, 1912)",3
"Xylergates elaineae Gilmour, 1962",3
"Dryadula phaetusa (Linnaeus, 1758)",3
"Cecidomyiidae",3
"Neodohrniphora dissita Brown, 2001",3
"Dryas iulia moderata (N.Riley, 1926)",3
"Pheidole scimitara",3
"Canthon quinquemaculatus Castelnau, 1840",3
"Canthon aequinoctialis Harold, 1868",3
"Cannaphila Kirby, 1889",3
"Neoclytus pusillus (Castelnau & Gory, 1841)",3
"Phoebis philea (Linnaeus, 1763)",3
"Campsurus Eaton, 1868",3
"Gnamptogenys lavra Lattke, 1863",3
"Pierella amalia Weymer, 1885",3
"Leptohyphidae",3
"Suphisellus Crotch, 1873",3
"Leptonema Guerin-Meneville, 1843",3
"Necalphus decoratus Monné & Magno, 1992",3
"Xylergates pulcher Lane, 1957",3
"Camponotus atriceps (Smith, 1858)",3
"Nasutitermes similis Emerson, 1935",3
"Pierella hortona (Hewitson, 1854)",3
"Pieriballia viardi (Boisduval, 1836)",3
"Calliscelio carinigena Chen & Johnson, 2017",3
"Ghinallelia Wygodzinsky, 1966",3
"Limnogonus aduncus Drake & Harris, 1933",3
"Callicore Hübner, 1819",3
"Platythyrea sinuata (Roger, 1860)",3
"Polana fina DeLong & Freytag, 1972",3
"Eciton hamatum (Fabricius, 1782)",3
"Megasoma Kirby, 1825",3
"Aedeomyia Theobald, 1901",3
"Eciton rapax Smith, 1855",3
"Prepona dexamenus dexamenus",3
"Prionopelta antillana Forel, 1909",3
"Pronoterus Sharp, 1882",3
"BOLD:ADO1095",3
"Pseudomyrmex vinneni (Forel, 1906)",3
"Adetus analis (Haldeman, 1847)",3
"Pseudophasma bispinosum (Redtenbacher, 1906)",3
"Ptilosphen Enderlein, 1922",3
"Euglossa mourei Dressler, 1982",3
"Pycnoscelus surinamensis (Linnaeus, 1758)",3
"Ranatra Fabricius, 1790",3
"Rasopone Schmidt & Shattuck, 2014",3
"BOLD:AAD6056",3
"Renda Blackwelder, 1952",3
"Elateridae",3
"Rhetus Swainson, 1829",3
"Myriophora alienipennis Hash & Brown, 2015",3
"Rhinostomus barbirostris (J.C.Fabricius, 1775)",3
"Rhodnius pictipes Stål, 1872",3
"BOLD:AAA3041",3
"Euglossa parvula Dressler, 1982",3
"Mycocepurus smithii (Forel, 1893)",3
"Blepharidatta fernandezi",3
"Wasmannia rochai Forel, 1912",3
"Riodina lysippus (Linnaeus, 1758)",3
"Rogeria belti Mann, 1922",3
"Batus barbicornis (Linnaeus, 1764)",3
"Encyrtidae",3
"Mormidea ypsilon (Fabricius, 1775)",3
"Enicocephalidae",3
"Battus crassus (Cramer, 1777)",3
"Sais rosalia promissa Weymer, 1884",3
"Aporesthus Bates, 1871",3
"Xanthopastis timais Cramer, 1782",3
"Stegoelmis Hinton, 1939",3
"Sargus thoracicus Macquart, 1834",3
"Barbatana confusa (DeLong & Freytag, 1969)",3
"Evansolidia liber (Walker, 1858)",3
"Sceliomorpha deplanata Kieffer, 1910",3
"Ephydridae",3
"Lycidae",3
"Micratopus Casey, 1914",3
"Lystra lanata (Linnaeus, 1758)",3
"Xenopygus Bernhauer, 1906",3
"Zirta hirticornis (Fabricius, 1798)",3
"Atrypanius scitulus (Germar, 1824)",3
"Asterope markii (Hewitson, 1857)",3
"Eurytides Hübner, 1821",3
"Aslamidium capense (Herbst, 1799)",3
"Siproeta stelenes Linnaeus, 1758",3
"Heterotermes Froggatt, 1897",3
"Humutermes krishnai Bourguignon & Roisin, 2016",3
"Erotylus Fabricius, 1775",3
"Hydrecotermes kawaii Bourguignon & Roisin, 2016",3
"Euryneura elegans Williston, 1888",3
"Mechanitis mazaeus mazaeus",3
"Hermeuptychia hermes Fabricius, 1775",3
"Hydrophilus Geoffroy, 1762",3
"Acropyga guianensis Weber, 1944",3
"Stenus Latreille, 1797",3
"Hylomyrma dolichops Kempf, 1973",3
"Hylomyrma praepotens Kempf, 1973",3
"Helicopis gnidus (Fabricius, 1787)",3
"Hypothyris ninonia (Hübner, 1806)",3
"Dohrniphora didyma Brown & Kung, 2007",3
"Apiomerus Hahn, 1831",3
"Nymphalidae",3
"Syntermes nanus Constantino, 1995",3
"Apocephalus apivorus Brown, 1996",3
"Syntermes spinosus (Latreille, 1804)",3
"Dohrniphora amacayavia Brown & Kung, 2010",3
"Syntomacris guttulosa Descamps & Amédégnato, 1971",3
"Nyssodrysternum efflictum (Bates, 1864)",3
"Dohrniphora fuscicoxa Borgmeier, 1923",3
"Insecta",3
"Nyssodrysternum Gilmour, 1960",3
"Ochetomyrmex neopolitus Fernández, 2003",3
"Dohrniphora inornata Brown & Kung, 2007",3
"Docalidia multidentata Nielson, 1982",3
"Hebrus Curtis, 1831",3
"Odonata",3
"Ischnura capreolus Hagen, 1861",3
"Oligotergus Bierig, 1937",3
"Ommata White, 1855",3
"Opades costipennis (Buquet, 1844)",3
"Dohrniphora matamatae Brown & Kung, 2010",3
"Gyretes Brullé, 1834",3
"Dione juno Cramer, 1779",3
"Oreodera glauca (Linnaeus, 1758)",3
"Gypona thoracica (Fabricius, 1803)",3
"Nordus simplex (Sharp, 1876)",3
"Desmiphora fasciculata (Olivier, 1792)",3
"Daridna subtangens Walker, 1858",3
"Dohrniphora parvipala Brown & Kung, 2010",3
"Mesonoterus Sharp, 1882",3
"Gypona cerea DeLong & Freytag, 1962",3
"Sarifer flavirameus Kirsch, 1871",2
"Acanthagrion Selys, 1876",2
"Acanthoderes Audinet-Serville, 1835",2
"Acromyrmex octospinosus (Reich, 1793)",2
"Acrotaphus franklini Gauld, 1991",2
"Aculomicrus Smetana, 1990",2
"Adelpha capucinus Walchs, 1775",2
"Adelpha cytherea (Linnaeus, 1758)",2
"Agallia repleta Van Duzee, 1907",2
"Agalliana puella Oman, 1938",2
"Agraulis vanillae (Linnaeus, 1758)",2
"Allochaeta Borgmeier, 1924",2
"Amanahyphes saguassu Salles & Molineri, 2006",2
"Ambrysus Stål, 1861",2
"Anacroneuria atrifrons Klapálek, 1922",2
"Anacroneuria Klapálek, 1909",2
"Anacroneuria yameo Stark & Sivec, 1998",2
"Anochetus mayri Emery, 1884",2
"Anoplotermes Müller, 1873",2
"Aphelinidae",2
"Aphelonotus Uhler, 1894",2
"Apocephalus crassilatus Brown, 2000",2
"Apocephalus flexiseta Brown, 2002",2
"Apocephalus praedator Borgmeier, 1971",2
"Apoica pallida (Olivier, 1791)",2
"Apterostigma auriculatum Wheeler, 1925",2
"Arawacus separata",2
"Argia Rambur, 1842",2
"Arocera aequinoxialis (Westwood, 1837)",2
"Arsenura albopicta Jordan, 1922",2
"Atta Fabricius, 1804",2
"Atta laevigata (Smith, 1858)",2
"Automeris Hübner, 1819",2
"Baetodes Needham & Murphy, 1924",2
"Baryssinus Bates, 1864",2
"Basiceros conjugans Brown, 1974",2
"Battus lycidas (Cramer, 1777)",2
"Battus polydamas (Linnaeus, 1758)",2
"Bdelyrus grandis Cook, 1998",2
"Bethylidae",2
"Bezzia Kieffer, 1899",2
"Blaberidae",2
"BOLD:AAE9124",2
"BOLD:AAF3842",2
"BOLD:AAK2455",2
"BOLD:ACA1060",2
"BOLD:ACE6250",2
"BOLD:ACS2525",2
"BOLD:ADN7190",2
"BOLD:ADN8803",2
"BOLD:ADO6224",2
"Brachymyrmex cordemoyi Forel, 1895",2
"Brachymyrmex myops Emery, 1906",2
"Brachymyrmex pictus Mayr, 1887",2
"Brachyvatus Zimmermann, 1919",2
"Calamiscus Borgmeier, 1960",2
"Calophaena Klug, 1821",2
"Calopteron Laporte, 1838",2
"Calospila emylius emylius",2
"Camarochilus Harris, 1930",2
"Camponotus improprius (Forel, 1879)",2
"Campylocia Needham & Murphy, 1924",2
"Cartea vitula (Hewitson, 1852)",2
"Catonephele numilia Cramer, 1779",2
"Centromyrmex brachycola (Roger, 1861)",2
"Cephalotes minutus (Fabricius, 1804)",2
"Cephalotes placidus (Smith, 1860)",2
"Cephalotes simillimus (Kempf, 1951)",2
"Cephalotes umbraculatus (Fabricius, 1804)",2
"Ceragenia bicornis (Fabricius, 1801)",2
"Chaetaspidia Borgmeier, 1961",2
"Chasmogenus Sharp, 1882",2
"Cheliomyrmex andicola Emery, 1894",2
"Chiasmodolon armatus Lozada, 2001",2
"Chiasmodolon dozeri Freytag, 2006",2
"Chiasmodolon latidens Freytag, 2006",2
"Chiasmodolon orthodens Freytag, 2006",2
"Cicadellidae",2
"Cillaeus Laporte de Castelnau, 1835",2
"Cissia penelope (Fabricius, 1775)",2
"Cithaerias phantoma Fassl, 1922",2
"Cithaerias pireta Cramer, 1782",2
"Colobothea appendiculata Aurivillius, 1902",2
"Compsibidion vanum (Thomson, 1867)",2
"Coniceromyia brachypoda Ament, Kung & Brown, 2020",2
"Coniceromyia browni Kung, 2009",2
"Coniceromyia hadrochaeta Ament, Kung & Brown, 2020",2
"Coptodera aeneorufa Bates, 1869",2
"Cornitermes snyderi Emerson, 1952",2
"Cornitermes Wasmann, 1897",2
"Crematogaster abstinens Forel, 1899",2
"Crematogaster minutissima Mayr, 1870",2
"Crematogaster tenuicula Forel, 1904",2
"Cryptobiina Bordoni, 1975",2
"Cryptobium Mannerheim, 1830",2
"Cryptocanthon peckorum Howden, 1973",2
"Cryptophora Borgmeier, 1935",2
"Culicoides debilipalpis Lutz, 1913",2
"Curtara concava DeLong & Freytag, 1976",2
"Cylindrotermes Holmgren, 1906",2
"Cylindrotermes parvignathus Emerson, 1949",2
"Cyphomyia picta Schiner, 1868",2
"Cyphomyia pulchella Gerstaecker, 1857",2
"Cyphomyrmex laevigatus Weber, 1938",2
"Cyrtobagous A.Hustache, 1929",2
"Daceton armigerum (Latreille, 1802)",2
"Dacnochilus J.L.LeConte, 1861",2
"Dahliphora Schmitz, 1923",2
"Danaus eresimus (Cramer)",2
"Dichotomius mamillatus (Felsche, 1901)",2
"Dichotomius quadrilobatus Chamorro, Lopera & Rossini, 2021",2
"Dinocoris Burmeister, 1835",2
"Diochus Erichson, 1839",2
"Docalidia setacea Nielson, 1986",2
"Docalidia takiyae Nielson, 2011",2
"Dohrniphora acanthiventris Brown & Kung, 2010",2
"Dohrniphora acarinata Brown & Kung, 2010",2
"Dohrniphora aprosmicta Brown & Kung, 2010",2
"Dohrniphora ardisia Brown & Kung, 2010",2
"Dohrniphora brunneifrons Brown & Kung, 2007",2
"Dohrniphora cognata Borgmeier, 1960",2
"Dohrniphora emmesta Brown & Kung, 2007",2
"Dohrniphora lugens Borgmeier, 1960",2
"Dohrniphora notoplicata Brown & Kung, 2010",2
"Dohrniphora paralobata Brown & Kung, 2007",2
"Dohrniphora sanmartinensis Brown & Kung, 2010",2
"Dohrniphora wilkinsoni Brown & Kung, 2007",2
"Dolichoderus doloniger (Roger, 1862)",2
"Dolichoderus laurae MacKay, 1993",2
"Dolichoderus lugens Emery, 1894",2
"Dolichoderus lutosus (Smith, 1858)",2
"Dolichoderus quadridenticulatus (Roger, 1862)",2
"Dolichoderus spurius Forel, 1903",2
"Dysanellus Bernhauer, 1911",2
"Dyscritobaeus Perkins, 1910",2
"Eciton burchellii (Westwood, 1842)",2
"Eciton drepanophorum Smith, 1858",2
"Eciton Latreille, 1804",2
"Ecitoptera Borgmeier & Schmitz, 1923",2
"Ectatomma Smith, 1858",2
"Edessa rufomarginata (De Geer, 1773)",2
"Embiratermes Fontes, 1985",2
"Erbessus grossus (Stål, 1863)",2
"Eresia nauplius (Linnaeus, 1758)",2
"Erythemis attala Selys, 1857",2
"Erythemis credula Hagen, 1861",2
"Estola Fairmaire & Germain, 1859",2
"Euchroma giganteum (Linnaeus, 1758)",2
"Euglossa prasina Dressler, 1982",2
"Euglossa rugilabris Moure, 1967",2
"Eumorpha vitis Linnaeus, 1758",2
"Euragallia albopunctata Oman, 1938",2
"Eurysternus vastiorum Martinez, 1988",2
"Eurytides dolicaon (Cramer, 1775)",2
"Euvelia advena Drake, 1957",2
"Fannia aburrae Durango & Ramírez-Mora, 2019",2
"Fannia porce Grisales, Wolff & Carvalho, 2012",2
"Forbestra proceris (Weymer, 1884)",2
"Ganyra phaloe (Godart, 1819)",2
"Gnomidolon rubricolor Bates, 1870",2
"Gomphidae",2
"Gryllidae",2
"Guajirolus Flowers, 1985",2
"Gypona hiata DeLong & Freytag, 1964",2
"Gypona rectara DeLong, 1980",2
"Gypona rena DeLong & Freytag, 1964",2
"Gypona viridirufa Walker, 1851",2
"Halictidae",2
"Hamadryas amphinome (Linnaeus, 1767)",2
"Hamadryas laodamia (Cramer, 1777)",2
"Haruspex lineolatus Bates, 1870",2
"Heliconius numata aurora",2
"Helicopis cupido (Linnaeus, 1758)",2
"Hemerodromia Meigen, 1822",2
"Heteragrion bariai De Marmels, 1989",2
"Heteragrion Selys, 1862",2
"Heterelmis Sharp, 1882",2
"Hispoleptis Baly, 1864",2
"Holcoponera Mayr, 1887",2
"Holopterina Borgmeier, 1928",2
"Holotrochus Erichson, 1839",2
"Hydrochus Leach, 1817",2
"Hydroptilidae",2
"Hylettus seniculus (Germar, 1824)",2
"Hypoleria famina Haensch, 1905",2
"Isolineocerus pusillus Freytag, 2008",2
"Isomerida albicollis (Castelnau, 1840)",2
"Junonia evarete Cramer, 1782",2
"Jupoata rufipennis (Gory, 1831)",2
"Laccodytes Régimbart, 1895",2
"Laparus doris doris",2
"Lebia testudinea (Chaudoir, 1871)",2
"Leptoteleia Kieffer, 1908",2
"Leptotrachelus Latreille, 1829",2
"Lepturges Bates, 1863",2
"Lithocharis Dejean, 1833",2
"Liturgusidae",2
"Lonomia descimoni Lemaire, 1971",2
"Lonomia Walker, 1855",2
"Lophomutilla Mickel, 1952",2
"Lutzomyia carrerai (Barretto, 1946)",2
"Lycomorphon Pic, 1922",2
"Mantodea",2
"Mapinguaritermes Rocha & Cancello, 2012",2
"Mechanitis mazaeus egaensis Bates, 1862",2
"Megalomyrmex foreli Emery, 1890",2
"Megaselia shadeae Hartop, 2014",2
"Melaloncha hyalinipennis Borgmeier, 1933",2
"Melanis electron (Fabricius, 1793)",2
"Menozziola Schmitz, 1927",2
"Mesene martha Schaus, 1902",2
"Metamorpha elissa (Hübner, 1819)",2
"Metapteron Bourgeois, 1905",2
